,N,P,K,ph,Fertility_Status
0,90,42,43,6.502985292000001,Moderate
1,85,58,41,7.038096361,Moderate
2,60,55,44,7.840207144,Poor
3,74,35,40,6.980400905,Moderate
4,78,42,42,7.628472891,Moderate
5,69,37,42,7.073453503,Moderate
6,69,55,38,5.70080568,Moderate
7,94,53,40,5.718627177999999,Moderate
8,89,54,38,6.685346424,Moderate
9,68,58,38,6.336253525,Moderate
10,91,53,40,5.386167788,Moderate
11,90,46,42,7.50283396,Moderate
12,78,58,44,5.108681786,Moderate
13,93,56,36,6.98435366,Moderate
14,94,50,37,6.94801983,Moderate
15,60,48,39,7.042299068999999,Moderate
16,85,38,41,6.2490506560000005,Moderate
17,91,35,39,6.970859754,Moderate
18,77,38,36,5.953933276,Moderate
19,88,35,40,5.85393208,Moderate
20,89,45,36,6.442475375,Moderate
21,76,40,43,5.070175667,Moderate
22,67,59,41,6.012632591,Moderate
23,83,41,43,6.254028451,Moderate
24,98,47,37,7.375482851,Moderate
25,66,53,41,7.778915154,Poor
26,97,59,43,6.2865001760000006,Moderate
27,97,50,41,7.070959995,Moderate
28,60,49,44,6.244841491,Moderate
29,84,51,35,6.043304899,Moderate
30,73,57,41,5.824709117,Moderate
31,92,35,40,6.3573893660000005,Moderate
32,85,37,39,6.364134967999999,Moderate
33,98,53,38,5.01450727,Moderate
34,88,54,44,6.149410611,Moderate
35,95,55,42,5.950660556,Moderate
36,99,57,35,5.960370061,Moderate
37,95,39,36,5.561398642,Moderate
38,60,43,44,7.416245107000001,Moderate
39,63,44,41,5.583370042,Moderate
40,62,42,36,6.430010215,Moderate
41,64,45,43,5.534878156,Moderate
42,83,60,36,6.903985986,Moderate
43,82,40,40,6.271478837999999,Moderate
44,85,52,45,7.224285503,Moderate
45,91,35,38,6.13428721,Moderate
46,76,49,42,5.206373153,Moderate
47,74,39,38,7.782051312999999,Moderate
48,79,43,39,7.062779015,Moderate
49,88,55,45,7.730367824,Moderate
50,60,36,43,5.286203711000001,Poor
51,76,60,39,6.766240045,Moderate
52,93,56,42,7.382762603,Moderate
53,65,60,43,5.658169482000001,Moderate
54,95,52,36,5.543360237999999,Moderate
55,75,38,39,6.215109715,Moderate
56,74,54,38,7.120272972,Moderate
57,91,36,45,5.950647577000001,Moderate
58,71,46,40,7.236705436,Moderate
59,99,55,35,6.501697816,Moderate
60,72,40,38,7.592490617,Moderate
61,83,58,45,5.875345751,Moderate
62,93,58,38,6.932400225,Moderate
63,70,36,42,6.9462098810000015,Moderate
64,76,47,42,5.739175027000001,Moderate
65,99,41,36,6.738652179,Moderate
66,99,54,37,5.5948196260000005,Moderate
67,86,59,35,6.946636369,Moderate
68,69,46,41,5.012139669,Poor
69,91,56,37,6.363472207999999,Moderate
70,61,52,41,6.880431223,Moderate
71,67,45,38,7.300410836,Moderate
72,79,42,37,6.587918707999999,Moderate
73,78,43,42,7.283736617000001,Moderate
74,75,54,36,7.023936392,Moderate
75,97,36,45,6.939083505,Moderate
76,67,47,44,7.868474653,Poor
77,73,35,38,5.005306977,Moderate
78,77,36,37,6.136131869,Moderate
79,81,41,38,7.5240800760000015,Moderate
80,68,57,43,5.706943251,Moderate
81,72,45,35,5.758506323,Moderate
82,61,53,43,6.349606327,Moderate
83,67,43,39,5.9999690260000005,Moderate
84,67,58,39,5.453592032,Poor
85,66,60,38,6.372576327000001,Moderate
86,82,43,38,5.105588355,Moderate
87,84,50,44,5.9353444060000005,Moderate
88,81,53,42,5.17782304,Moderate
89,91,50,40,6.462391607000001,Moderate
90,93,53,38,7.069172227,Moderate
91,90,44,38,7.473134377,Moderate
92,81,45,35,6.158376967000001,Moderate
93,78,40,38,7.549873681,Moderate
94,60,51,36,6.028321557999999,Moderate
95,88,46,42,6.604993475,Moderate
96,93,47,37,6.500343222000001,Moderate
97,60,55,45,5.935745417000001,Moderate
98,78,35,44,7.072655622,Moderate
99,65,37,40,5.333322606,Poor
100,71,54,16,5.7499144210000015,Moderate
101,61,44,17,6.931756557999999,Moderate
102,80,43,16,6.657964753,Moderate
103,73,58,21,6.596060648,Moderate
104,61,38,20,5.970458434,Moderate
105,68,41,16,6.158830619,Moderate
106,93,41,17,6.047906679,Moderate
107,89,60,19,5.913664501,Moderate
108,76,44,17,5.855442401,Moderate
109,67,60,25,5.750254943,Moderate
110,70,44,19,5.852607099,Moderate
111,90,49,21,6.4725232870000005,Moderate
112,62,52,16,6.9670577620000005,Moderate
113,92,44,16,6.082973754,Moderate
114,66,54,21,5.919045532,Moderate
115,63,58,22,6.204747652999999,Moderate
116,70,47,17,6.600827017,Moderate
117,61,41,17,6.021902237000001,Moderate
118,66,53,19,6.033550195,Moderate
119,74,55,19,6.28886807,Moderate
120,77,57,21,6.550563822999999,Moderate
121,99,50,15,5.573286437,Moderate
122,74,56,22,6.829199275,Moderate
123,83,45,21,5.716222912,Moderate
124,100,48,16,5.54990242,Moderate
125,79,51,16,6.586244581,Moderate
126,94,39,18,5.893093135,Moderate
127,75,49,15,5.918263801,Moderate
128,78,48,22,5.588650585,Moderate
129,87,54,20,6.576418207000001,Moderate
130,87,35,25,6.178056304,Moderate
131,63,43,19,6.641906353,Moderate
132,84,57,25,6.489040367,Moderate
133,64,35,23,5.680361037999999,Moderate
134,60,46,22,6.625404347999999,Moderate
135,98,44,21,6.524478032,Moderate
136,75,56,18,5.696205468,Moderate
137,86,55,21,6.803931519,Moderate
138,98,35,18,6.252797547999999,Moderate
139,76,57,18,6.092725883,Moderate
140,99,56,17,6.234330356,Moderate
141,60,44,23,5.722579819,Moderate
142,74,48,17,6.430616465,Moderate
143,89,60,17,5.983952675,Moderate
144,69,51,23,6.80163854,Moderate
145,96,46,22,6.499936446,Moderate
146,61,60,15,6.265564338,Moderate
147,74,58,18,6.727303282,Moderate
148,74,43,23,6.325235159,Moderate
149,63,43,17,6.807487794,Moderate
150,99,36,20,6.671085817000001,Moderate
151,77,36,23,6.648725327,Moderate
152,87,60,23,6.439071996,Moderate
153,60,38,17,6.474476516,Moderate
154,94,54,17,5.871647806,Moderate
155,95,38,22,5.730617109,Moderate
156,84,44,21,5.850439831,Moderate
157,77,58,19,5.791649933,Moderate
158,66,44,20,6.740000687999999,Moderate
159,63,35,16,6.272417541,Moderate
160,79,45,20,5.715208817000001,Moderate
161,72,60,25,5.773454729,Moderate
162,67,51,24,5.584171461,Moderate
163,86,36,24,5.787268394,Moderate
164,76,48,18,5.77597783,Moderate
165,75,53,18,6.864793607,Moderate
166,81,45,23,6.192360002999999,Moderate
167,73,45,21,6.636803222999999,Moderate
168,71,35,24,5.826426917,Moderate
169,96,54,22,6.960358276,Moderate
170,99,39,18,6.11275104,Moderate
171,62,48,20,6.708446922,Moderate
172,86,37,16,5.561510732,Moderate
173,94,50,19,5.873242491,Moderate
174,76,39,24,6.995843776,Moderate
175,77,52,17,5.714799723,Moderate
176,74,39,23,6.78073637,Moderate
177,81,49,20,5.513697923,Moderate
178,63,42,21,5.798423907999999,Moderate
179,99,38,21,6.352471866,Moderate
180,90,52,25,6.822586546,Moderate
181,68,40,19,6.655426355,Moderate
182,60,57,24,6.1212940410000005,Moderate
183,71,52,18,5.790770202999999,Moderate
184,61,59,17,6.47444292,Moderate
